strike,lastPrice,bid,ask,impliedVolatility,optionType,expirationDate,american_price,european_price,black_scholes_price,diff
144.0,5.95,6.0,6.2,0.4968312036132813,put,2025-02-21,6.9082647581180465,6.89465603771012,6.895349711918641,0.8082647581180469
145.0,6.83,6.85,7.0,0.500005,put,2025-02-21,7.655295886151392,7.639641346555269,7.6413025885370445,0.7302958861513922
146.0,7.78,7.6,7.95,0.5336960693359375,put,2025-02-21,8.624457938081344,8.607843860563085,8.606515459363706,0.8494579380813434
147.0,8.6,8.2,8.85,0.5507857421875001,put,2025-02-21,9.500401914952963,9.48218650591819,9.481163406548589,0.9754019149529647
148.0,9.46,9.15,9.75,0.5629926513671876,put,2025-02-21,10.362762011684378,10.342708055832157,10.343149547661966,0.9127620116843786
128.0,16.4,15.65,16.5,0.6165809826660158,call,2025-03-21,16.821879048573127,16.821879048573127,16.820106262981,0.7468790485731276
130.0,15.02,14.95,15.1,0.6297644445800781,call,2025-03-21,15.785524396841016,15.785524396841016,15.783778347705123,0.7605243968410171
132.0,13.85,13.7,13.95,0.6279334082031252,call,2025-03-21,14.58143521741653,14.58143521741653,14.583286348610187,0.7564352174165307
134.0,12.65,12.6,12.8,0.627078924560547,call,2025-03-21,13.454774642023505,13.454774642023505,13.457918090064737,0.7547746420235057
135.0,12.1,12.0,12.15,0.6212196081542969,call,2025-03-21,12.83216423586345,12.83216423586345,12.827770325307199,0.7571642358634509
136.0,11.73,11.5,11.65,0.6221961608886719,call,2025-03-21,12.326896166419601,12.326896166419601,12.32522854589007,0.751896166419602
137.0,11.1,10.95,11.15,0.6206092626953126,call,2025-03-21,11.796815361440924,11.796815361440924,11.794915187458628,0.7468153614409232
138.0,10.55,10.4,10.6,0.6165809826660158,call,2025-03-21,11.242393620574237,11.242393620574237,11.23789515145684,0.7423936205742372
139.0,10.0,9.95,10.25,0.6208534008789064,call,2025-03-21,10.833757919155511,10.833757919155511,10.836663673506521,0.7337579191555115
140.0,9.45,9.45,9.6,0.6134071862792969,call,2025-03-21,10.255670286728828,10.255670286728828,10.250397079280589,0.730670286728829
141.0,9.0,9.0,9.2,0.614261669921875,call,2025-03-21,9.819149557291855,9.819149557291855,9.820553087704724,0.7191495572918551
142.0,8.6,8.55,8.8,0.6141396008300781,call,2025-03-21,9.39245760336582,9.39245760336582,9.38863473042165,0.7174576033658191
143.0,8.17,8.15,8.3,0.6114540808105471,call,2025-03-21,8.930156527264124,8.930156527264124,8.927218920441092,0.7051565272641227
144.0,7.83,7.7,7.95,0.6110878735351564,call,2025-03-21,8.519880539756699,8.519880539756699,8.51990294031944,0.6948805397566984
145.0,7.4,7.35,7.65,0.6143837390136719,call,2025-03-21,8.194236506874589,8.194236506874589,8.189130438049517,0.6942365068745886
146.0,6.95,6.95,7.2,0.6104775280761721,call,2025-03-21,7.745576597494206,7.745576597494206,7.749459428082908,0.6705765974942057
147.0,6.74,6.6,6.8,0.6088906298828126,call,2025-03-21,7.367584803907402,7.367584803907402,7.363218945913189,0.6675848039074026
148.0,6.32,5.3,6.45,0.5778850805664062,call,2025-03-21,6.495227920293287,6.495227920293287,6.499576949897403,0.6202279202932868
149.0,5.95,5.9,6.1,0.6062051098632814,call,2025-03-21,6.6409258543578105,6.6409258543578105,6.639837622204638,0.6409258543578105
150.0,5.6,5.55,5.65,0.6002237243652344,call,2025-03-21,6.2259248495173205,6.2259248495173205,6.222039906282156,0.6259248495173209
128.0,5.0,4.85,5.05,0.5972940661621093,put,2025-03-21,5.159040311956576,5.1431543494343535,5.145237792599659,0.2090403119565769
130.0,5.7,5.6,5.75,0.5959513061523438,put,2025-03-21,5.87868631392768,5.85984370541498,5.864354117263197,0.20368631392768055
132.0,6.42,6.4,6.5,0.5937540625000001,put,2025-03-21,6.651625205456813,6.629783787628203,6.631795309510409,0.2016252054568124
134.0,7.25,7.2,7.35,0.5905802661132813,put,2025-03-21,7.471308514167009,7.445876764918796,7.445098688737545,0.19630851416700867
135.0,7.73,7.65,7.8,0.5898478515625001,put,2025-03-21,7.919470750692419,7.891896687732191,7.888987317610308,0.19447075069241926
136.0,8.18,8.1,8.25,0.5880168151855469,put,2025-03-21,8.362828722759549,8.333272350966258,8.330300906773282,0.18782872275954787
137.0,8.6,8.55,8.7,0.5852092260742188,put,2025-03-21,8.803348173690223,8.771231414503495,8.77061703686362,0.17834817369022282
138.0,9.13,9.05,9.2,0.5844768115234374,put,2025-03-21,9.300120167487123,9.265874073172636,9.261429639583348,0.17512016748712256
139.0,9.6,9.55,9.7,0.5826457751464844,put,2025-03-21,9.783913057747766,9.74663635285782,9.749253666689967,0.15891305774776576
140.0,10.14,10.1,10.25,0.5830119824218749,put,2025-03-21,10.334772497351823,10.295217803723567,10.290212613444083,0.1597724973518222
141.0,10.66,10.45,10.75,0.5747112841796875,put,2025-03-21,10.737606388963664,10.694767179911405,10.698203863590336,0.13760638896366473
142.0,11.1,11.0,13.3,0.6340368627929689,put,2025-03-21,12.329426986671306,12.284783228474598,12.281588176046156,0.17942698667130585
143.0,11.85,11.45,11.9,0.5687298986816407,put,2025-03-21,11.791366248483206,11.742262200160578,11.742607743430725,0.11636624848320487
144.0,12.45,11.95,12.5,0.5650678259277344,put,2025-03-21,12.332905988590193,12.280242492512865,12.276717841043123,0.1079059885901934
145.0,13.05,12.95,13.1,0.5758099060058592,put,2025-03-21,13.13010365253171,13.074442343564252,13.07139344009363,0.10510365253171194
146.0,15.1,13.55,14.35,0.5935099243164064,put,2025-03-21,14.05263931821406,13.993613063602027,13.996857427568159,0.10263931821406125
147.0,14.68,14.2,14.7,0.5839885351562499,put,2025-03-21,14.542347263936925,14.479621140299153,14.474891035450128,0.09234726393692583
148.0,15.75,14.5,15.25,0.5684857604980469,put,2025-03-21,14.935142481233001,14.866741726649206,14.869951849182229,0.06014248123300092
149.0,15.5,15.45,17.6,0.6301306518554688,put,2025-03-21,16.624404168776373,16.556236593416475,16.560176150823594,0.09940416877637404
150.0,16.1,15.95,16.55,0.5677533459472657,put,2025-03-21,16.285428981450487,16.208438928759957,16.21023090198696,0.035428981450486674
90.0,50.3,49.4,50.65,0.7573266455078126,call,2025-04-17,50.74896391356674,50.74896391356674,50.74780580655123,0.7239639135667417
95.0,45.63,44.75,45.9,0.72070591796875,call,2025-04-17,46.08360703067245,46.08360703067245,46.08317720470028,0.7586070306724437
100.0,40.55,40.1,40.9,0.6638217211914064,call,2025-04-17,41.28866279765573,41.28866279765573,41.28712508619864,0.7886627976557321
105.0,36.05,35.6,36.6,0.64648791015625,call,2025-04-17,36.9204441776004,36.9204441776004,36.919407707621886,0.8204441776004003
110.0,31.9,31.6,32.0,0.6246375427246094,call,2025-04-17,32.641572894039605,32.641572894039605,32.64325245559036,0.8415728940396043
115.0,27.68,27.6,27.95,0.6102333898925782,call,2025-04-17,28.638093209052805,28.638093209052805,28.63473796704359,0.8630932090528063
120.0,23.95,23.75,23.95,0.5887492297363282,call,2025-04-17,24.718046402414686,24.718046402414686,24.715445130670204,0.8680464024146843
125.0,20.37,19.7,20.45,0.5634809277343751,call,2025-04-17,20.929057086439673,20.929057086439673,20.932198073454884,0.8540570864396742
130.0,17.15,17.1,17.35,0.5717205914306642,call,2025-04-17,18.068319085531765,18.068319085531765,18.069023630249916,0.843319085531764
135.0,14.25,13.8,14.5,0.5533491931152343,call,2025-04-17,14.965988216396747,14.965988216396747,14.960536214043543,0.8159882163967467
140.0,11.8,11.7,11.9,0.5540816076660158,call,2025-04-17,12.577221918388,12.577221918388,12.571376019559949,0.7772219183879994
145.0,9.65,9.55,9.75,0.5495650512695314,call,2025-04-17,10.369656262285911,10.369656262285911,10.370103577259115,0.7196562622859108
150.0,7.74,7.7,7.9,0.5451705639648439,call,2025-04-17,8.463353961550416,8.463353961550416,8.463078720906474,0.6633539615504151
155.0,6.35,6.15,6.3,0.5404709039306643,call,2025-04-17,6.828943105081514,6.828943105081514,6.823632207776043,0.6039431050815143
160.0,4.95,4.9,5.0,0.5380905566406251,call,2025-04-17,5.483714817698782,5.483714817698782,5.484631548172295,0.5337148176987823
165.0,4.0,3.85,4.0,0.537236072998047,call,2025-04-17,4.398913651309937,4.398913651309937,4.396636959284656,0.4739136513099371
170.0,3.1,3.0,3.15,0.5355271057128907,call,2025-04-17,3.4856634519053475,3.4856634519053475,3.4848285582198564,0.41066345190534737
175.0,2.46,2.4,2.49,0.5378464184570313,call,2025-04-17,2.8030679978515227,2.8030679978515227,2.801359850019061,0.35806799785152243
180.0,1.92,1.89,1.97,0.5395553857421876,call,2025-04-17,2.2338426477974944,2.2338426477974944,2.2379665592949856,0.3038426477974945
185.0,1.55,1.5,1.56,0.5422409057617189,call,2025-04-17,1.7953523922646026,1.7953523922646026,1.7945875985236235,0.2653523922646026
90.0,0.52,0.52,0.55,0.6381872119140625,put,2025-04-17,0.5648949254598096,0.5634259030197108,0.5633004494555269,0.02989492545980954
95.0,0.73,0.7,0.75,0.6079140771484376,put,2025-04-17,0.7545965142448103,0.7523375766658844,0.754479833948424,0.029596514244810357
100.0,1.03,1.01,1.05,0.5861857788085938,put,2025-04-17,1.061873240180047,1.0585212396794283,1.0593049844208071,0.031873240180047
105.0,1.45,1.43,1.48,0.5666547241210937,put,2025-04-17,1.4863729894229607,1.481209839617768,1.4800967961606801,0.03137298942296063
110.0,2.08,2.03,2.11,0.5520064331054688,put,2025-04-17,2.0952312291303086,2.0872167574727825,2.085141724403332,0.02523122913030873
115.0,2.92,2.9,2.96,0.5415084912109377,put,2025-04-17,2.943250622168853,2.9309079697596228,2.9280394693612024,0.013250622168853088
120.0,4.05,4.0,4.1,0.5318650329589845,put,2025-04-17,4.0403054306289015,4.021713063485303,4.018017448851225,-0.00969456937109836
125.0,5.5,5.45,5.55,0.5249070947265625,put,2025-04-17,5.458703486478413,5.4312130181109035,5.426791122055768,-0.04129651352158703
130.0,7.25,7.25,7.35,0.5192919165039063,put,2025-04-17,7.213969880344629,7.174251857364658,7.169144963031712,-0.086030119655371
135.0,9.42,9.35,11.15,0.5511519494628907,put,2025-04-17,10.125066389907259,10.06833698320044,10.062872719666352,-0.12493361009274118
140.0,11.78,11.8,12.15,0.5103198382568359,put,2025-04-17,11.77482534499752,11.697497180255823,11.691884736033124,-0.20017465500248122
145.0,14.65,14.55,14.85,0.5000660345458985,put,2025-04-17,14.428812610483268,14.32383872041887,14.319318921499104,-0.27118738951673116
150.0,18.34,17.7,18.45,0.5046436254882812,put,2025-04-17,17.73774683954106,17.59941933909183,17.599691971056373,-0.33725316045893905
155.0,21.85,21.05,21.75,0.5100146655273439,put,2025-04-17,21.35361645697271,21.177121844522336,21.17745725007147,-0.04638354302728942
160.0,25.6,25.0,25.5,0.5064746618652343,put,2025-04-17,25.04869567276561,24.824418372412303,24.82054186076398,-0.2013043272343893
165.0,30.6,28.95,29.5,0.5039112109375,put,2025-04-17,29.058774365735204,28.77411520178901,28.773790342735083,-0.16622563426479786
170.0,34.3,33.15,33.65,0.49805189453125004,put,2025-04-17,33.1097294341526,32.757709089864036,32.762439594431285,-0.2902705658474005
175.0,39.15,37.5,38.0,0.49341326904296884,put,2025-04-17,37.44365502184119,37.012499296867055,37.011861105246254,-0.3063449781588119
180.0,46.25,42.05,42.6,0.4985401708984375,put,2025-04-17,42.07147665156636,41.55691631539558,41.56154259666715,-0.2535233484336459
185.0,50.4,46.75,49.0,0.5600629931640625,put,2025-04-17,47.33960791677944,46.83331356396644,46.83386466122097,-0.5353920832205574
