,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expirationDate,ticker
18,NVDA250221C00026000,2025-02-11 15:04:17+00:00,26.0,107.95,112.15,113.8,0.0,0.0,6.0,130.0,6.781251523437501,True,REGULAR,USD,call,2025-02-21,NVDA
19,NVDA250221C00027000,2025-02-05 18:45:50+00:00,27.0,95.81,111.2,112.85,0.0,0.0,1.0,105.0,6.929688837890625,True,REGULAR,USD,call,2025-02-21,NVDA
20,NVDA250221C00028000,2025-02-12 14:36:54+00:00,28.0,101.93,110.35,111.75,0.0,0.0,2.0,159.0,6.9062513671875,True,REGULAR,USD,call,2025-02-21,NVDA
21,NVDA250221C00029000,2025-02-10 18:08:21+00:00,29.0,105.35,108.7,110.85,0.0,0.0,80.0,151.0,8.822270111083984,True,REGULAR,USD,call,2025-02-21,NVDA
22,NVDA250221C00030000,2025-02-14 20:12:43+00:00,30.0,108.34,108.2,109.7,5.5399933,5.389098,26.0,691.0,6.04687744140625,True,REGULAR,USD,call,2025-02-21,NVDA
23,NVDA250221C00031000,2025-02-10 19:45:13+00:00,31.0,103.35,107.35,109.05,0.0,0.0,80.0,360.0,7.023438720703126,True,REGULAR,USD,call,2025-02-21,NVDA
24,NVDA250221C00032000,2025-02-14 17:10:12+00:00,32.0,104.65,106.15,107.75,17.86,20.578407,2.0,138.0,5.79687775390625,True,REGULAR,USD,call,2025-02-21,NVDA
25,NVDA250221C00033000,2025-02-10 20:42:42+00:00,33.0,101.22,105.25,107.0,0.0,0.0,164.0,509.0,6.500001875000001,True,REGULAR,USD,call,2025-02-21,NVDA
26,NVDA250221C00034000,2025-01-28 18:10:10+00:00,34.0,92.53,104.0,105.8,0.0,0.0,1.0,168.0,5.14062857421875,True,REGULAR,USD,call,2025-02-21,NVDA
27,NVDA250221C00035000,2025-02-14 15:55:07+00:00,35.0,102.96,102.95,104.5,3.709999,3.7380342,387.0,537.0,7.175782280273438,True,REGULAR,USD,call,2025-02-21,NVDA
28,NVDA250221C00036000,2025-02-14 17:34:25+00:00,36.0,100.94,102.25,103.75,3.4900055,3.5813296,10.0,232.0,5.62500296875,True,REGULAR,USD,call,2025-02-21,NVDA
29,NVDA250221C00037000,2025-02-10 17:58:58+00:00,37.0,97.45,101.15,102.55,0.0,0.0,80.0,131.0,0.500005,True,REGULAR,USD,call,2025-02-21,NVDA
30,NVDA250221C00038000,2025-02-10 17:11:03+00:00,38.0,95.5,100.15,101.7,0.0,0.0,80.0,89.0,4.968753789062499,True,REGULAR,USD,call,2025-02-21,NVDA
31,NVDA250221C00039000,2025-01-29 16:53:57+00:00,39.0,83.63,99.3,100.6,0.0,0.0,5.0,128.0,5.0312537109374995,True,REGULAR,USD,call,2025-02-21,NVDA
32,NVDA250221C00040000,2025-02-12 20:42:17+00:00,40.0,91.35,98.1,99.7,0.0,0.0,74.0,601.0,4.562504296875,True,REGULAR,USD,call,2025-02-21,NVDA
33,NVDA250221C00041000,2025-02-14 20:45:42+00:00,41.0,97.97,96.85,98.75,18.89,23.887203,22.0,303.0,6.79101713623047,True,REGULAR,USD,call,2025-02-21,NVDA
34,NVDA250221C00042000,2025-02-13 18:09:53+00:00,42.0,93.14,96.25,97.95,0.0,0.0,2.0,80.0,5.371097036132811,True,REGULAR,USD,call,2025-02-21,NVDA
35,NVDA250221C00043000,2025-02-14 20:35:46+00:00,43.0,95.86,95.05,96.8,4.959999,5.4565444,10.0,122.0,4.507816865234375,True,REGULAR,USD,call,2025-02-21,NVDA
36,NVDA250221C00044000,2025-02-13 18:40:42+00:00,44.0,90.4,94.1,95.75,0.0,0.0,1.0,101.0,4.421879472656249,True,REGULAR,USD,call,2025-02-21,NVDA
37,NVDA250221C00045000,2025-02-11 15:27:16+00:00,45.0,88.83,93.1,94.75,0.0,0.0,1.0,444.0,4.343754570312499,True,REGULAR,USD,call,2025-02-21,NVDA
38,NVDA250221C00046000,2025-02-10 17:42:10+00:00,46.0,88.3,92.05,93.55,0.0,0.0,80.0,266.0,5.902346372070314,True,REGULAR,USD,call,2025-02-21,NVDA
39,NVDA250221C00047000,2025-02-11 19:29:49+00:00,47.0,86.11,91.35,92.55,0.0,0.0,5.0,259.0,4.3281295898437495,True,REGULAR,USD,call,2025-02-21,NVDA
40,NVDA250221C00048000,2025-02-10 17:42:44+00:00,48.0,86.3,90.35,91.6,0.0,0.0,80.0,134.0,4.367192041015624,True,REGULAR,USD,call,2025-02-21,NVDA
41,NVDA250221C00049000,2025-01-30 15:29:08+00:00,49.0,71.21,89.05,90.45,0.0,0.0,40.0,221.0,5.433596958007811,True,REGULAR,USD,call,2025-02-21,NVDA
42,NVDA250221C00050000,2025-02-14 15:26:18+00:00,50.0,87.97,88.35,89.45,3.4500046,4.0818796,100.0,457.0,3.7812505468750004,True,REGULAR,USD,call,2025-02-21,NVDA
43,NVDA250221C00051000,2025-01-31 16:29:37+00:00,51.0,75.98,87.2,88.5,0.0,0.0,4.0,245.0,0.500005,True,REGULAR,USD,call,2025-02-21,NVDA
44,NVDA250221C00052000,2025-02-05 18:30:02+00:00,52.0,71.38,86.1,87.8,0.0,0.0,5.0,292.0,3.94531263671875,True,REGULAR,USD,call,2025-02-21,NVDA
45,NVDA250221C00053000,2025-01-28 14:30:37+00:00,53.0,68.3,84.7,86.8,0.0,0.0,1.0,190.0,5.51562810546875,True,REGULAR,USD,call,2025-02-21,NVDA
46,NVDA250221C00054000,2025-02-13 20:10:14+00:00,54.0,81.6,83.7,85.8,0.0,0.0,8.0,181.0,5.419925100097655,True,REGULAR,USD,call,2025-02-21,NVDA
47,NVDA250221C00055000,2025-02-14 17:15:51+00:00,55.0,81.67,83.35,84.9,1.7200012,2.1513462,82.0,387.0,4.289067138671875,True,REGULAR,USD,call,2025-02-21,NVDA
48,NVDA250221C00056000,2025-02-10 20:48:25+00:00,56.0,78.0,82.1,83.95,0.0,0.0,3.0,346.0,3.94531263671875,True,REGULAR,USD,call,2025-02-21,NVDA
49,NVDA250221C00057000,2025-02-10 17:35:18+00:00,57.0,77.3,81.25,82.4,0.0,0.0,18.0,1543.0,4.632816708984375,True,REGULAR,USD,call,2025-02-21,NVDA
50,NVDA250221C00058000,2025-02-10 20:59:04+00:00,58.0,75.63,80.2,81.75,0.0,0.0,4.0,350.0,3.6328134179687503,True,REGULAR,USD,call,2025-02-21,NVDA
51,NVDA250221C00059000,2025-02-10 19:16:58+00:00,59.0,75.6,79.25,80.45,0.0,0.0,20.0,1201.0,0.500005,True,REGULAR,USD,call,2025-02-21,NVDA
52,NVDA250221C00060000,2025-02-14 16:04:26+00:00,60.0,77.69,78.35,79.35,3.8899994,5.271002,14.0,1649.0,0.500005,True,REGULAR,USD,call,2025-02-21,NVDA
53,NVDA250221C00060500,2025-02-10 17:42:31+00:00,60.5,73.8,77.35,79.1,0.0,0.0,64.0,909.0,4.6093792382812495,True,REGULAR,USD,call,2025-02-21,NVDA
54,NVDA250221C00061000,2025-02-10 19:16:58+00:00,61.0,73.59,77.05,78.6,0.0,0.0,20.0,555.0,4.568363664550781,True,REGULAR,USD,call,2025-02-21,NVDA
55,NVDA250221C00061500,2025-02-10 17:43:06+00:00,61.5,72.9,76.65,78.0,0.0,0.0,36.0,1222.0,4.406254492187499,True,REGULAR,USD,call,2025-02-21,NVDA
56,NVDA250221C00062000,2025-02-10 14:38:17+00:00,62.0,71.25,76.15,77.7,0.0,0.0,5.0,740.0,3.16406458984375,True,REGULAR,USD,call,2025-02-21,NVDA
57,NVDA250221C00062500,2025-01-28 14:30:51+00:00,62.5,59.65,75.6,76.85,0.0,0.0,1.0,544.0,4.126957966308594,True,REGULAR,USD,call,2025-02-21,NVDA
58,NVDA250221C00063000,2025-02-05 17:12:01+00:00,63.0,61.57,75.1,76.95,0.0,0.0,38.0,840.0,3.468751328125,True,REGULAR,USD,call,2025-02-21,NVDA
59,NVDA250221C00063500,2025-01-17 15:59:37+00:00,63.5,74.74,74.35,76.25,0.0,0.0,5.0,686.0,4.529301213378906,True,REGULAR,USD,call,2025-02-21,NVDA
60,NVDA250221C00064000,2025-01-28 14:30:58+00:00,64.0,57.9,74.25,75.4,0.0,0.0,1.0,1584.0,4.085942392578126,True,REGULAR,USD,call,2025-02-21,NVDA
61,NVDA250221C00064500,2025-02-12 20:04:32+00:00,64.5,66.65,72.1,74.8,0.0,0.0,561.0,711.0,3.9062502343750003,True,REGULAR,USD,call,2025-02-21,NVDA
62,NVDA250221C00065000,2025-02-14 20:57:55+00:00,65.0,74.05,73.35,74.35,7.8199997,11.807338,11.0,1009.0,0.500005,True,REGULAR,USD,call,2025-02-21,NVDA
63,NVDA250221C00065500,2025-02-12 16:04:48+00:00,65.5,65.83,72.7,73.95,0.0,0.0,1.0,304.0,4.039067451171874,True,REGULAR,USD,call,2025-02-21,NVDA
64,NVDA250221C00066000,2025-02-03 14:30:49+00:00,66.0,47.6,72.0,73.5,0.0,0.0,9.0,936.0,4.062504921875,True,REGULAR,USD,call,2025-02-21,NVDA
65,NVDA250221C00066500,2025-02-03 17:38:10+00:00,66.5,49.5,71.65,72.9,0.0,0.0,17.0,481.0,3.9042971142578127,True,REGULAR,USD,call,2025-02-21,NVDA
66,NVDA250221C00067000,2025-02-05 15:00:09+00:00,67.0,56.0,71.15,72.4,0.0,0.0,1.0,1223.0,3.8691409521484372,True,REGULAR,USD,call,2025-02-21,NVDA
67,NVDA250221C00067500,2025-02-07 17:19:24+00:00,67.5,60.48,70.5,72.5,0.0,0.0,10.0,682.0,3.1210959472656246,True,REGULAR,USD,call,2025-02-21,NVDA
68,NVDA250221C00068000,2025-02-12 16:08:54+00:00,68.0,63.2,70.3,71.35,0.0,0.0,1.0,993.0,3.7343756640625,True,REGULAR,USD,call,2025-02-21,NVDA
69,NVDA250221C00068500,2025-02-05 18:27:24+00:00,68.5,54.7,69.6,70.8,0.0,0.0,8.0,898.0,3.6328134179687503,True,REGULAR,USD,call,2025-02-21,NVDA
70,NVDA250221C00069000,2025-02-10 16:33:29+00:00,69.0,65.0,69.35,70.5,0.0,0.0,2.0,1171.0,2.7734405664062503,True,REGULAR,USD,call,2025-02-21,NVDA
71,NVDA250221C00069500,2025-02-06 16:24:00+00:00,69.5,57.55,68.7,69.95,0.0,0.0,380.0,781.0,3.755859985351563,True,REGULAR,USD,call,2025-02-21,NVDA
72,NVDA250221C00070000,2025-02-14 17:52:18+00:00,70.0,67.7,68.4,69.45,1.9399948,2.9501138,70.0,1744.0,2.718753203125,True,REGULAR,USD,call,2025-02-21,NVDA
73,NVDA250221C00070500,2025-02-04 20:56:52+00:00,70.5,48.3,67.75,69.05,0.0,0.0,381.0,831.0,2.57031607421875,True,REGULAR,USD,call,2025-02-21,NVDA
74,NVDA250221C00071000,2025-02-04 20:56:46+00:00,71.0,47.8,67.0,68.45,0.0,0.0,196.0,746.0,3.6523446191406252,True,REGULAR,USD,call,2025-02-21,NVDA
75,NVDA250221C00071500,2025-02-04 20:40:06+00:00,71.5,47.45,66.7,67.9,0.0,0.0,108.0,801.0,3.5605479736328123,True,REGULAR,USD,call,2025-02-21,NVDA
76,NVDA250221C00072000,2025-02-06 16:33:29+00:00,72.0,55.25,66.25,67.45,0.0,0.0,58.0,468.0,0.500005,True,REGULAR,USD,call,2025-02-21,NVDA
77,NVDA250221C00072500,2025-02-07 15:51:57+00:00,72.5,57.5,65.45,66.9,0.0,0.0,2.0,666.0,3.496095009765625,True,REGULAR,USD,call,2025-02-21,NVDA
78,NVDA250221C00073000,2025-02-12 20:23:00+00:00,73.0,65.05,65.1,66.45,6.500004,11.101629,1.0,540.0,3.519532451171875,True,REGULAR,USD,call,2025-02-21,NVDA
79,NVDA250221C00073500,2025-02-10 14:39:12+00:00,73.5,60.3,64.9,65.95,0.0,0.0,1.0,430.0,2.5468786328124997,True,REGULAR,USD,call,2025-02-21,NVDA
80,NVDA250221C00074000,2025-02-07 18:03:19+00:00,74.0,55.66,63.8,65.35,0.0,0.0,30.0,627.0,3.339845400390624,True,REGULAR,USD,call,2025-02-21,NVDA
81,NVDA250221C00074500,2025-02-10 15:05:43+00:00,74.5,59.1,63.5,64.85,0.0,0.0,4.0,892.0,3.308595478515625,True,REGULAR,USD,call,2025-02-21,NVDA
82,NVDA250221C00075000,2025-02-14 20:16:59+00:00,75.0,63.5,63.2,64.4,3.4000015,5.6572404,165.0,1139.0,3.3359391601562494,True,REGULAR,USD,call,2025-02-21,NVDA
83,NVDA250221C00075500,2025-02-07 18:01:45+00:00,75.5,53.75,62.65,64.3,0.0,0.0,84.0,1256.0,2.6093784765625,True,REGULAR,USD,call,2025-02-21,NVDA
84,NVDA250221C00076000,2025-02-14 20:40:55+00:00,76.0,62.87,62.2,63.9,16.119999,34.48128,1.0,383.0,2.7656280859375,True,REGULAR,USD,call,2025-02-21,NVDA
85,NVDA250221C00076500,2025-02-05 19:11:52+00:00,76.5,47.25,61.6,62.9,0.0,0.0,141.0,895.0,3.2402362744140625,True,REGULAR,USD,call,2025-02-21,NVDA
86,NVDA250221C00077000,2025-02-13 19:15:29+00:00,77.0,58.15,60.8,62.5,0.0,0.0,1.0,615.0,3.314454838867187,True,REGULAR,USD,call,2025-02-21,NVDA
87,NVDA250221C00077500,2025-02-13 18:12:28+00:00,77.5,57.4,60.85,61.9,0.0,0.0,1.0,1503.0,2.0781298046874994,True,REGULAR,USD,call,2025-02-21,NVDA
88,NVDA250221C00078000,2025-02-11 19:58:16+00:00,78.0,55.7,60.4,61.5,0.0,0.0,1.0,4693.0,2.4140664648437498,True,REGULAR,USD,call,2025-02-21,NVDA
89,NVDA250221C00078500,2025-02-06 15:48:10+00:00,78.5,47.8,59.6,61.45,0.0,0.0,40.0,434.0,2.5781285546875,True,REGULAR,USD,call,2025-02-21,NVDA
90,NVDA250221C00079000,2025-02-14 20:32:05+00:00,79.0,59.6,59.45,60.35,10.399998,21.138206,10.0,1454.0,2.1718795703125,True,REGULAR,USD,call,2025-02-21,NVDA
91,NVDA250221C00079500,2025-02-07 18:40:50+00:00,79.5,49.75,58.85,60.35,0.0,0.0,6.0,898.0,2.6679720800781253,True,REGULAR,USD,call,2025-02-21,NVDA
92,NVDA250221C00080000,2025-02-14 20:34:23+00:00,80.0,58.79,58.35,59.4,3.5,6.3302584,152.0,3253.0,1.96875015625,True,REGULAR,USD,call,2025-02-21,NVDA
93,NVDA250221C00081000,2025-02-14 19:15:48+00:00,81.0,57.04,57.05,58.85,3.1200027,5.7863555,5.0,883.0,2.2656293359374997,True,REGULAR,USD,call,2025-02-21,NVDA
94,NVDA250221C00082000,2025-02-14 18:45:19+00:00,82.0,55.3,56.4,57.8,2.4500008,4.635763,12.0,1015.0,2.5371130322265625,True,REGULAR,USD,call,2025-02-21,NVDA
95,NVDA250221C00083000,2025-02-13 14:42:25+00:00,83.0,54.7,55.35,56.3,5.299999,10.728744,1.0,1240.0,2.7480500048828125,True,REGULAR,USD,call,2025-02-21,NVDA
96,NVDA250221C00084000,2025-02-14 14:30:00+00:00,84.0,52.45,54.3,55.45,3.5,7.150153,1.0,1070.0,1.8125009374999999,True,REGULAR,USD,call,2025-02-21,NVDA
97,NVDA250221C00085000,2025-02-14 17:21:33+00:00,85.0,51.92,53.4,54.5,2.119999,4.257026,8.0,4104.0,2.0859422851562495,True,REGULAR,USD,call,2025-02-21,NVDA
98,NVDA250221C00086000,2025-02-13 19:12:27+00:00,86.0,49.2,52.4,53.4,0.0,0.0,30.0,2664.0,1.8671881640625,True,REGULAR,USD,call,2025-02-21,NVDA
99,NVDA250221C00087000,2025-02-14 15:10:14+00:00,87.0,49.85,51.25,52.35,1.699997,3.530627,11.0,1213.0,2.5800816748046875,True,REGULAR,USD,call,2025-02-21,NVDA
100,NVDA250221C00088000,2025-02-13 15:33:51+00:00,88.0,48.7,50.4,51.55,1.7000008,3.617023,14.0,1863.0,2.0117237207031247,True,REGULAR,USD,call,2025-02-21,NVDA
101,NVDA250221C00089000,2025-02-14 17:39:59+00:00,89.0,48.0,49.45,50.3,2.9000015,6.4301586,40.0,3316.0,1.609376953125,True,REGULAR,USD,call,2025-02-21,NVDA
102,NVDA250221C00090000,2025-02-14 20:51:29+00:00,90.0,49.02,48.15,49.4,3.8400002,8.499336,578.0,4621.0,2.464847587890625,True,REGULAR,USD,call,2025-02-21,NVDA
103,NVDA250221C00091000,2025-02-13 19:33:45+00:00,91.0,44.3,47.3,48.5,0.0,0.0,86.0,4059.0,1.6640641796875002,True,REGULAR,USD,call,2025-02-21,NVDA
104,NVDA250221C00092000,2025-02-14 17:31:58+00:00,92.0,45.0,46.35,47.55,1.5,3.4482758,15.0,2750.0,1.78125109375,True,REGULAR,USD,call,2025-02-21,NVDA
105,NVDA250221C00093000,2025-02-14 16:31:16+00:00,93.0,43.9,45.35,46.55,1.4000015,3.2941213,26.0,2209.0,1.7382825585937498,True,REGULAR,USD,call,2025-02-21,NVDA
106,NVDA250221C00094000,2025-02-14 17:51:26+00:00,94.0,43.4,44.4,45.6,1.4500008,3.4564977,1.0,3804.0,1.798829130859375,True,REGULAR,USD,call,2025-02-21,NVDA
107,NVDA250221C00095000,2025-02-14 20:57:15+00:00,95.0,44.27,43.25,44.4,4.0699997,10.124377,116.0,3630.0,2.2031294921874993,True,REGULAR,USD,call,2025-02-21,NVDA
108,NVDA250221C00096000,2025-02-14 15:52:22+00:00,96.0,41.75,42.3,43.85,2.75,7.051282,29.0,1954.0,1.8261727441406248,True,REGULAR,USD,call,2025-02-21,NVDA
109,NVDA250221C00097000,2025-02-14 17:47:36+00:00,97.0,40.08,41.4,42.45,2.4800034,6.5957537,154.0,1942.0,1.5156274218749999,True,REGULAR,USD,call,2025-02-21,NVDA
110,NVDA250221C00098000,2025-02-14 14:53:06+00:00,98.0,40.98,40.45,41.3,3.6800003,9.8659525,10.0,1744.0,1.2968785156249998,True,REGULAR,USD,call,2025-02-21,NVDA
111,NVDA250221C00099000,2025-02-14 20:10:06+00:00,99.0,39.94,39.2,40.4,3.3799973,9.245069,207.0,3880.0,2.0019581201171874,True,REGULAR,USD,call,2025-02-21,NVDA
112,NVDA250221C00100000,2025-02-14 20:57:27+00:00,100.0,39.25,38.5,39.15,4.0999985,11.664291,598.0,68414.0,1.736329443359375,True,REGULAR,USD,call,2025-02-21,NVDA
113,NVDA250221C00101000,2025-02-14 20:50:00+00:00,101.0,38.05,37.2,38.9,3.5499992,10.289853,46.0,1801.0,1.5761739941406248,True,REGULAR,USD,call,2025-02-21,NVDA
114,NVDA250221C00102000,2025-02-14 20:42:04+00:00,102.0,36.85,36.35,37.35,3.3999977,10.164417,18.0,2151.0,0.500005,True,REGULAR,USD,call,2025-02-21,NVDA
115,NVDA250221C00103000,2025-02-14 20:24:39+00:00,103.0,35.6,35.25,36.5,3.1399994,9.673443,4.0,2156.0,1.125004375,True,REGULAR,USD,call,2025-02-21,NVDA
116,NVDA250221C00104000,2025-02-14 20:10:06+00:00,104.0,34.36,34.25,35.4,2.710001,8.562405,220.0,4102.0,1.7578137109375,True,REGULAR,USD,call,2025-02-21,NVDA
117,NVDA250221C00105000,2025-02-14 20:35:50+00:00,105.0,34.07,33.55,34.3,3.619999,11.888337,320.0,8920.0,1.2148476757812499,True,REGULAR,USD,call,2025-02-21,NVDA
118,NVDA250221C00106000,2025-02-14 20:35:37+00:00,106.0,33.0,32.2,33.6,3.5499992,12.054327,7.0,2905.0,1.1171919140625,True,REGULAR,USD,call,2025-02-21,NVDA
119,NVDA250221C00107000,2025-02-14 18:38:59+00:00,107.0,30.7,31.35,32.65,2.1000004,7.3426585,23.0,1677.0,1.2656286718749998,True,REGULAR,USD,call,2025-02-21,NVDA
120,NVDA250221C00108000,2025-02-14 20:38:26+00:00,108.0,31.15,30.4,31.4,3.6499996,13.272726,73.0,43184.0,1.0468797656250002,True,REGULAR,USD,call,2025-02-21,NVDA
121,NVDA250221C00109000,2025-02-14 20:55:38+00:00,109.0,29.85,29.5,30.75,4.0,15.473887,18.0,2538.0,1.3222690136718749,True,REGULAR,USD,call,2025-02-21,NVDA
122,NVDA250221C00110000,2025-02-14 20:57:15+00:00,110.0,29.35,28.35,29.55,4.0,15.779093,1072.0,22253.0,1.0781296093750001,True,REGULAR,USD,call,2025-02-21,NVDA
123,NVDA250221C00111000,2025-02-14 20:41:32+00:00,111.0,28.03,27.5,28.8,3.7300014,15.349801,158.0,2767.0,1.259769326171875,True,REGULAR,USD,call,2025-02-21,NVDA
124,NVDA250221C00112000,2025-02-14 19:00:08+00:00,112.0,26.65,26.55,27.35,3.1499996,13.404254,60.0,4440.0,1.0058643457031249,True,REGULAR,USD,call,2025-02-21,NVDA
125,NVDA250221C00113000,2025-02-14 20:58:56+00:00,113.0,26.0,25.3,26.8,3.5599995,15.864525,1003.0,3164.0,1.087895185546875,True,REGULAR,USD,call,2025-02-21,NVDA
126,NVDA250221C00114000,2025-02-14 20:35:06+00:00,114.0,25.12,24.3,25.65,3.5200005,16.296299,62.0,3054.0,0.9687503125,True,REGULAR,USD,call,2025-02-21,NVDA
127,NVDA250221C00115000,2025-02-14 20:58:17+00:00,115.0,24.08,23.25,24.25,3.4799995,16.8932,1720.0,15079.0,1.1611370068359377,True,REGULAR,USD,call,2025-02-21,NVDA
128,NVDA250221C00116000,2025-02-14 20:59:19+00:00,116.0,23.11,22.55,23.7,3.7600002,19.431526,253.0,6541.0,1.0332079589843752,True,REGULAR,USD,call,2025-02-21,NVDA
129,NVDA250221C00117000,2025-02-14 20:59:07+00:00,117.0,22.03,21.6,22.2,3.2600002,17.368141,630.0,5254.0,0.7460962890625,True,REGULAR,USD,call,2025-02-21,NVDA
130,NVDA250221C00118000,2025-02-14 20:58:53+00:00,118.0,21.04,20.35,21.2,3.3900013,19.206806,1080.0,7422.0,1.001958115234375,True,REGULAR,USD,call,2025-02-21,NVDA
131,NVDA250221C00119000,2025-02-14 20:56:43+00:00,119.0,20.32,19.35,20.35,3.7700005,22.77946,937.0,22505.0,1.0429735351562504,True,REGULAR,USD,call,2025-02-21,NVDA
132,NVDA250221C00120000,2025-02-14 20:59:44+00:00,120.0,19.13,18.5,19.35,3.4799995,22.236418,3315.0,29175.0,0.6894562304687502,True,REGULAR,USD,call,2025-02-21,NVDA
133,NVDA250221C00121000,2025-02-14 20:58:32+00:00,121.0,18.2,17.35,18.6,3.500001,23.80953,818.0,8111.0,0.7148466015625,True,REGULAR,USD,call,2025-02-21,NVDA
134,NVDA250221C00122000,2025-02-14 20:59:12+00:00,122.0,17.2,16.4,17.25,3.380001,24.457317,1057.0,8362.0,0.8623060644531251,True,REGULAR,USD,call,2025-02-21,NVDA
135,NVDA250221C00123000,2025-02-14 20:59:32+00:00,123.0,16.15,15.4,16.75,3.2999992,25.68093,925.0,6827.0,0.72070591796875,True,REGULAR,USD,call,2025-02-21,NVDA
136,NVDA250221C00124000,2025-02-14 20:59:21+00:00,124.0,15.15,14.45,15.5,3.1499996,26.249998,1221.0,8993.0,0.6074258007812501,True,REGULAR,USD,call,2025-02-21,NVDA
137,NVDA250221C00125000,2025-02-14 20:59:46+00:00,125.0,14.2,13.9,14.3,3.1999998,29.090906,4824.0,48948.0,0.657229990234375,True,REGULAR,USD,call,2025-02-21,NVDA
138,NVDA250221C00126000,2025-02-14 20:59:56+00:00,126.0,13.15,12.5,13.5,3.0199995,29.812431,2449.0,12133.0,0.5546919531250001,True,REGULAR,USD,call,2025-02-21,NVDA
139,NVDA250221C00127000,2025-02-14 20:59:50+00:00,127.0,12.32,11.8,12.75,3.08,33.333336,2831.0,39048.0,0.6601596484375001,True,REGULAR,USD,call,2025-02-21,NVDA
140,NVDA250221C00128000,2025-02-14 20:59:55+00:00,128.0,11.3,10.65,11.7,2.8500004,33.727814,3417.0,13646.0,0.5742230078125,True,REGULAR,USD,call,2025-02-21,NVDA
141,NVDA250221C00129000,2025-02-14 20:59:29+00:00,129.0,10.44,9.85,10.65,2.8199997,37.00787,3486.0,11054.0,0.5625043750000001,True,REGULAR,USD,call,2025-02-21,NVDA
